tempo n_acesso
671 0
70 4
511 18
882 37
882 42
971 52
1743 86
2595 128
2625 142
3036 153
2845 149
3506 184
3566 176
3025 169
3756 208
4448 236
5730 300
6040 276
5770 295
6611 331
8945 424
7262 358
9026 444
10097 516
9816 518
8124 417
11489 548
10929 580
9977 500
12331 608
12812 623
16509 873
16728 839
13323 662
12441 623
14144 723
13843 695
15757 757
16668 865
16278 901
16358 783
16558 816
16368 846
17029 809
23190 1201
16719 886
15807 861
20035 1022
23820 1209
26545 1321
25924 1309
27928 1463
24362 1218
24422 1259
24181 1240
23571 1146
27527 1419
25022 1247
24011 1216
28549 1371
25023 1258
36111 1818
27077 1389
26365 1360
31835 1569
32976 1760
30923 1533
27847 1410
30952 1456
30532 1535
38616 2054
38075 1910
47401 1630
61024 1958
64591 2091
64209 2162
66503 2168
58340 1947
66212 2101
60463 2128
56847 2164
57027 2253
69769 2388
52249 1914
51918 2025
63509 2200
80347 2733
60744 2247
54092 1993
68527 2518
62757 2167
58981 2260
87149 3073
74797 2679
95483 2965
78313 2856
73355 2562
111110 3874
75879 2587
94131 3479
67024 2474
113454 4016
77192 2618
84404 3010
73435 2861
94591 3315
86377 3088
83121 3015
70561 2796
70200 2630
84194 3078
90404 3227
92337 3266
103837 3672
99559 3640
93049 3474
87139 3243
73396 2819
106161 3244
86898 3057
89663 3670
78564 3303
96264 4174
75939 3301
86478 3713
95463 4096
85987 3644
115717 3366
71922 3122
81840 3352
79135 3376
91386 3945
82811 3400
101363 4343
89392 3554
111730 4231
143645 5583
100581 4186
76450 3409
92358 3943
101443 4035
131624 4238
95994 4494
76681 4167
67625 3771
68417 3902
78083 4772
60002 3906
72253 4488
68597 4483
59421 3827
68086 4295
70770 4667
62917 4162
60223 3981
85757 5532
65982 4346
80106 4894
61184 3892
64360 4135
72744 4562
67375 4239
76831 4835
79436 5086
83752 5444
79045 5109
85536 4918
79375 5363
87890 5473
76690 4738
89723 5827
78473 5101
92608 5721
71171 4623
90875 5376
89263 5131
91055 5800
83632 5193
92768 5976
87359 5402
79907 5149
80337 5184
95643 6193
90644 5662
112472 6740
98067 5747
97106 6269
77502 5154
99360 6464
58820 5144
71152 6529
63499 5380
59702 5202
80628 7133
82010 6953
71862 6369
70681 6331
73606 6545
75459 5911
83502 6674
67966 5751
79115 6712
73786 6242
68827 5819
80457 6788
77192 6693
76421 6077
75769 6006
78023 6260
74918 6538
76961 6423
73996 6526
79175 6263
93560 7331
87760 6979
79125 6693
78534 6837
74026 6241
70940 6030
92308 7852
79445 6683
75128 6486
74387 6523
115226 9176
89312 6854
85236 6718
137184 9886
77072 6617
75669 6534
74988 6532
82831 7061
108536 8194
91095 7580
91867 8228
109867 9157
81229 6704
89843 7185
97456 7785
109427 8122
87930 7450
91316 7731
86397 7300
85536 7334
89333 7991
98798 8325
94190 7734
107072 9132
91046 7340
90434 7183
104438 8543
89823 7290
103456 8559
81859 7078
100692 8661
104418 8913
96725 8349
96024 8125
137204 11742
104569 9088
104609 8144
108595 8566
117901 8154
89853 7652
113824 9900
88791 7446
100181 8728
95372 8061
95844 8350
123400 10812
105490 8859
112602 9569
99560 8350
93529 7927
111410 9455
96525 8196
114515 9721
114184 9654
100942 8353
112081 9402
98498 8142
104378 8906
132175 10044
112833 8865
121778 9840
111660 9358
120516 10299
95673 8102
101292 8525
113554 9706
121988 9953
135271 11020
108075 9161
106752 9068
112511 9971
121658 10514
96384 8346
123411 10713
123521 10674
119754 9296
112201 9689
135931 11840
129340 10773
110679 9398
116809 9864
121066 10336
103587 8797
112732 9580
132266 10789
129000 10864
120816 10469
114285 9406
113563 9581
174107 13443
141381 10349
120976 10405
116078 9766
132395 11256
124322 11070
128069 10463
142764 11088
155375 12218
138997 11124
156077 13438
122419 10325
131685 10983
138606 10939
157399 12320
193811 15582
141681 10920
195103 14957
204058 13046
158100 12816
183232 14992
126646 10170
145017 11549
155005 12651
128980 10094
153662 11991
126957 10975
156988 13509
151238 11798
132666 10691
126396 10268
165442 13253
179386 14451
137284 10681
145397 12501
133928 11415
178865 15341
